# Wavelength, Molecular Absorption, Ozone, Rayleigh Scattering, Aerosol Extinction
3.000000000e+02	5.234859750e-01	1.709986077e-02	1.474261547e-01	4.907498285e-01
3.000150004e+02	5.701334659e-01	1.866878633e-02	1.605801465e-01	5.344802230e-01
3.000300015e+02	6.158209654e-01	2.021739095e-02	1.734678178e-01	5.773106589e-01
3.000450034e+02	6.599521810e-01	2.172683930e-02	1.859214596e-01	6.186821330e-01
3.000600060e+02	7.019932538e-01	2.318011260e-02	1.977908696e-01	6.580941713e-01
3.000750094e+02	7.414917981e-01	2.456261096e-02	2.089487088e-01	6.951226778e-01
3.000900135e+02	7.780906777e-01	2.586259576e-02	2.192943817e-01	7.294328499e-01
3.001050184e+02	8.115358850e-01	2.707145174e-02	2.287562578e-01	7.607865643e-01
3.001200240e+02	8.416783935e-01	2.818376445e-02	2.372922008e-01	7.890441138e-01
3.001350304e+02	8.684703415e-01	2.919722308e-02	2.448885032e-01	8.141606299e-01
3.001500375e+02	8.919563165e-01	3.011237217e-02	2.515574444e-01	8.361779116e-01
3.001650454e+02	9.122608163e-01	3.093224478e-02	2.573337722e-01	8.552126714e-01
3.001800540e+02	9.295731412e-01	3.166191536e-02	2.622704621e-01	8.714423718e-01
3.001950634e+02	9.441310132e-01	3.230801183e-02	2.664341166e-01	8.850898686e-01
3.002100735e+02	9.562041410e-01	3.287822432e-02	2.699003487e-01	8.964080045e-01
3.002250844e+02	9.660787771e-01	3.338084233e-02	2.727494433e-01	9.056651311e-01
3.002400960e+02	9.740440709e-01	3.382434500e-02	2.750625211e-01	9.131323160e-01
3.002551084e+02	9.803807528e-01	3.421706090e-02	2.769183583e-01	9.190727340e-01
3.002701215e+02	9.853524126e-01	3.456690521e-02	2.783909339e-01	9.237334916e-01
3.002851354e+02	9.891993959e-01	3.488119525e-02	2.795477120e-01	9.273399042e-01
3.003001501e+02	9.921351428e-01	3.516653863e-02	2.804486113e-01	9.300920644e-01
3.003151654e+02	9.943446545e-01	3.542878476e-02	2.811455717e-01	9.321634045e-01
3.003301816e+02	9.959846906e-01	3.567302721e-02	2.816826076e-01	9.337008811e-01
3.003451985e+02	9.971852673e-01	3.590364403e-02	2.820962272e-01	9.348263798e-01
3.003602161e+02	9.980520412e-01	3.612436316e-02	2.824161002e-01	9.356389501e-01
3.003752345e+02	9.986692059e-01	3.633834160e-02	2.826658704e-01	9.362175205e-01
3.003902536e+02	9.991025929e-01	3.654824887e-02	2.828640260e-01	9.366238056e-01
3.004052735e+02	9.994027370e-01	3.675634765e-02	2.830247600e-01	9.369051803e-01
3.004202941e+02	9.996077415e-01	3.696456672e-02	2.831587740e-01	9.370973649e-01
3.004353155e+02	9.997458360e-01	3.717456311e-02	2.832739970e-01	9.372268237e-01
3.004503377e+02	9.998375781e-01	3.738777241e-02	2.833762033e-01	9.373128287e-01
3.004653606e+02	9.998976872e-01	3.760544744e-02	2.834695274e-01	9.373691789e-01
3.004803842e+02	9.999365283e-01	3.782868642e-02	2.835568808e-01	9.374055910e-01
3.004954086e+02	9.999612810e-01	3.805845222e-02	2.836402803e-01	9.374287958e-01
3.005104337e+02	9.999768382e-01	3.829558485e-02	2.837211004e-01	9.374433801e-01
